10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
2154,1511,1944,2070,2078,1210,538,345,279,112,1,2154,3665,5609,7679,9757,10967,11505,11850,12129,12241,12242
1815,1299,1773,1820,1794,944,429,302,234,97,6,1815,3114,4887,6707,8501,9445,9874,10176,10410,10507,10513
1901,1318,1698,1829,1843,1101,460,325,217,107,4,1901,3219,4917,6746,8589,9690,10150,10475,10692,10799,10803
1743,1253,1406,1540,1570,874,415,245,172,60,4,1743,2996,4402,5942,7512,8386,8801,9046,9218,9278,9282
1089,716,818,841,848,533,243,147,92,40,2,1089,1805,2623,3464,4312,4845,5088,5235,5327,5367,5369
1790,1247,1249,1413,1521,817,354,229,192,103,3,1790,3037,4286,5699,7220,8037,8391,8620,8812,8915,8918
2292,1519,1550,1764,1879,953,381,225,178,69,2,2292,3811,5361,7125,9004,9957,10338,10563,10741,10810,10812
1929,1403,1534,1707,1755,895,379,230,176,66,1,1929,3332,4866,6573,8328,9223,9602,9832,10008,10074,10075
1554,1123,1308,1507,1508,759,283,196,151,64,3,1554,2677,3985,5492,7000,7759,8042,8238,8389,8453,8456
1742,1303,1448,1572,1578,823,343,187,111,54,1,1742,3045,4493,6065,7643,8466,8809,8996,9107,9161,9162
1720,1151,1211,1331,1323,719,319,177,124,45,5,1720,2871,4082,5413,6736,7455,7774,7951,8075,8120,8125
1036,739,690,770,850,374,174,104,60,32,2,1036,1775,2465,3235,4085,4459,4633,4737,4797,4829,4831
1768,1163,1095,1323,1268,649,250,153,121,40,1,1768,2931,4026,5349,6617,7266,7516,7669,7790,7830,7831
2218,1522,1511,1746,1639,846,364,202,120,50,2,2218,3740,5251,6997,8636,9482,9846,10048,10168,10218,10220
1601,1226,1395,1584,1422,665,268,155,99,33,5,1601,2827,4222,5806,7228,7893,8161,8316,8415,8448,8453
1458,1072,1349,1434,1357,628,234,143,98,45,6,1458,2530,3879,5313,6670,7298,7532,7675,7773,7818,7824
1395,1044,1242,1321,1249,655,242,155,91,43,3,1395,2439,3681,5002,6251,6906,7148,7303,7394,7437,7440
1283,995,1044,1145,1053,532,201,129,80,34,1,1283,2278,3322,4467,5520,6052,6253,6382,6462,6496,6497
786,621,618,605,663,320,97,76,57,9,1,786,1407,2025,2630,3293,3613,3710,3786,3843,3852,3853
703,575,574,567,539,286,120,79,56,29,4,703,1278,1852,2419,2958,3244,3364,3443,3499,3528,3532
