10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
15.4204,11.6227,15.3084,17.7449,17.4536,9.8527,5.4277,3.6184,2.4590,1.0250,0.0672,15.4204,27.0431,42.3514,60.0963,77.5500,87.4027,92.8303,96.4488,98.9077,99.9328,100.0000
14.8805,11.8337,15.1164,17.2324,18.0887,9.6184,5.3925,3.4502,3.0903,1.2535,0.0434,14.8805,26.7142,41.8306,59.0630,77.1517,86.7701,92.1626,95.6128,98.7031,99.9566,100.0000
15.7891,11.6715,14.9004,16.6259,17.1073,10.1977,5.4062,3.8436,3.0512,1.3256,0.0815,15.7891,27.4606,42.3610,58.9869,76.0942,86.2919,91.6981,95.5417,98.5929,99.9185,100.0000
18.4736,12.9833,14.5685,15.5583,16.3470,9.5577,5.1423,3.6035,2.6291,1.0749,0.0619,18.4736,31.4569,46.0254,61.5837,77.9307,87.4884,92.6307,96.2341,98.8633,99.9381,100.0000
19.0086,13.1082,15.1660,15.2001,15.9845,9.9250,4.6157,3.2401,2.5125,1.2278,0.0114,19.0086,32.1169,47.2829,62.4829,78.4675,88.3925,93.0082,96.2483,98.7608,99.9886,100.0000
18.6707,12.7941,13.6861,15.1640,16.9392,9.7333,5.1246,3.5855,3.0171,1.2331,0.0525,18.6707,31.4648,45.1509,60.3148,77.2540,86.9873,92.1119,95.6974,98.7145,99.9475,100.0000
19.8901,12.5936,12.8684,15.7609,16.4067,9.8660,4.5826,3.5589,3.0505,1.3741,0.0481,19.8901,32.4837,45.3521,61.1130,77.5198,87.3858,91.9684,95.5273,98.5778,99.9519,100.0000
19.2561,13.4409,14.4347,16.4420,16.0878,9.1213,4.4081,3.2077,2.5386,1.0528,0.0098,19.2561,32.6970,47.1318,63.5737,79.6615,88.7828,93.1910,96.3987,98.9373,99.9902,100.0000
17.4339,11.8594,13.9813,17.3980,17.9824,9.0541,4.8193,3.5425,2.6254,1.2318,0.0719,17.4339,29.2933,43.2746,60.6725,78.6549,87.7090,92.5283,96.0709,98.6963,99.9281,100.0000
18.2746,12.0533,14.6491,17.4872,17.1065,9.3623,4.3696,3.0631,2.4487,1.1508,0.0346,18.2746,30.3279,44.9771,62.4643,79.5708,88.9331,93.3028,96.3658,98.8146,99.9654,100.0000
17.8803,12.6830,14.3314,16.7362,17.5798,9.8129,4.4798,3.1514,2.2787,0.9793,0.0873,17.8803,30.5634,44.8948,61.6310,79.2107,89.0236,93.5033,96.6547,98.9334,99.9127,100.0000
19.1708,13.5702,14.5366,16.4692,15.9185,9.1854,4.2186,3.2003,2.7639,0.9144,0.0520,19.1708,32.7411,47.2776,63.7469,79.6654,88.8508,93.0694,96.2697,99.0337,99.9480,100.0000
17.4576,11.9068,14.3475,17.2966,17.7288,9.5339,4.8220,3.1949,2.5339,1.1441,0.0339,17.4576,29.3644,43.7119,61.0085,78.7373,88.2712,93.0932,96.2881,98.8220,99.9661,100.0000
18.9864,12.6103,14.6753,16.8821,16.4328,9.6075,4.5318,2.8452,2.2305,1.1113,0.0867,18.9864,31.5968,46.2721,63.1542,79.5870,89.1945,93.7264,96.5716,98.8020,99.9133,100.0000
17.5952,12.3428,15.8798,16.9090,16.9744,9.8840,4.3947,2.8182,2.2790,0.9149,0.0082,17.5952,29.9379,45.8177,62.7267,79.7010,89.5850,93.9797,96.7979,99.0769,99.9918,100.0000
17.2643,12.3561,16.8648,17.3119,17.0646,8.9794,4.0807,2.8726,2.2258,0.9227,0.0571,17.2643,29.6205,46.4853,63.7972,80.8618,89.8411,93.9218,96.7944,99.0203,99.9429,100.0000
17.5970,12.2003,15.7179,16.9305,17.0601,10.1916,4.2581,3.0084,2.0087,0.9905,0.0370,17.5970,29.7973,45.5151,62.4456,79.5057,89.6973,93.9554,96.9638,98.9725,99.9630,100.0000
18.7783,13.4992,15.1476,16.5913,16.9145,9.4161,4.4710,2.6395,1.8530,0.6464,0.0431,18.7783,32.2775,47.4251,64.0164,80.9308,90.3469,94.8179,97.4574,99.3105,99.9569,100.0000
20.2831,13.3358,15.2356,15.6640,15.7944,9.9274,4.5260,2.7379,1.7135,0.7450,0.0373,20.2831,33.6189,48.8545,64.5185,80.3129,90.2403,94.7663,97.5042,99.2177,99.9627,100.0000
20.0718,13.9830,14.0054,15.8444,17.0554,9.1612,3.9695,2.5678,2.1529,1.1550,0.0336,20.0718,34.0547,48.0601,63.9045,80.9599,90.1211,94.0906,96.6584,98.8114,99.9664,100.0000
21.1987,14.0492,14.3359,16.3152,17.3788,8.8143,3.5239,2.0810,1.6463,0.6382,0.0185,21.1987,35.2479,49.5838,65.8990,83.2778,92.0921,95.6160,97.6970,99.3433,99.9815,100.0000
19.1464,13.9256,15.2258,16.9429,17.4194,8.8834,3.7618,2.2829,1.7469,0.6551,0.0099,19.1464,33.0720,48.2978,65.2407,82.6600,91.5434,95.3052,97.5881,99.3350,99.9901,100.0000
18.3775,13.2805,15.4683,17.8217,17.8335,8.9759,3.3467,2.3179,1.7857,0.7569,0.0355,18.3775,31.6580,47.1263,64.9480,82.7815,91.7573,95.1041,97.4219,99.2077,99.9645,100.0000
19.0133,14.2218,15.8044,17.1578,17.2233,8.9828,3.7437,2.0410,1.2115,0.5894,0.0109,19.0133,33.2351,49.0395,66.1973,83.4207,92.4034,96.1471,98.1882,99.3997,99.9891,100.0000
21.1692,14.1662,14.9046,16.3815,16.2831,8.8492,3.9262,2.1785,1.5262,0.5538,0.0615,21.1692,35.3354,50.2400,66.6215,82.9046,91.7538,95.6800,97.8585,99.3846,99.9385,100.0000
21.4448,15.2970,14.2828,15.9387,17.5947,7.7417,3.6017,2.1528,1.2420,0.6624,0.0414,21.4448,36.7419,51.0246,66.9634,84.5581,92.2997,95.9015,98.0542,99.2962,99.9586,100.0000
22.5769,14.8512,13.9829,16.8944,16.1921,8.2876,3.1924,1.9538,1.5451,0.5108,0.0128,22.5769,37.4282,51.4111,68.3055,84.4975,92.7851,95.9775,97.9313,99.4764,99.9872,100.0000
