日付,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上
11/9,0,0,1,2,8,12,36,120,289,449,0.00,0.00,0.22,0.45,1.78,2.67,8.02,26.73,64.37,100.00,0,0,1,1,6,4,24,84,169,160,0.00,0.00,0.22,0.22,1.34,0.89,5.35,18.71,37.64,35.63
11/16,0,0,0,1,2,13,47,151,388,592,0.00,0.00,0.00,0.17,0.34,2.20,7.94,25.51,65.54,100.00,0,0,0,1,1,11,34,104,237,204,0.00,0.00,0.00,0.17,0.17,1.86,5.74,17.57,40.03,34.46
11/23,1,1,2,5,7,16,55,188,443,695,0.14,0.14,0.29,0.72,1.01,2.30,7.91,27.05,63.74,100.00,1,0,1,3,2,9,39,133,255,252,0.14,0.00,0.14,0.43,0.29,1.29,5.61,19.14,36.69,36.26
11/30,1,1,1,5,13,21,75,273,648,1009,0.10,0.10,0.10,0.50,1.29,2.08,7.43,27.06,64.22,100.00,1,0,0,4,8,8,54,198,375,361,0.10,0.00,0.00,0.40,0.79,0.79,5.35,19.62,37.17,35.78
12/7,0,2,2,5,9,28,86,293,776,1152,0.00,0.17,0.17,0.43,0.78,2.43,7.47,25.43,67.36,100.00,0,2,0,3,4,19,58,207,483,376,0.00,0.17,0.00,0.26,0.35,1.65,5.03,17.97,41.93,32.64
12/14,0,0,1,5,11,40,108,321,854,1281,0.00,0.00,0.08,0.39,0.86,3.12,8.43,25.06,66.67,100.00,0,0,1,4,6,29,68,213,533,427,0.00,0.00,0.08,0.31,0.47,2.26,5.31,16.63,41.61,33.33
12/21,2,3,6,11,25,45,127,400,1086,1652,0.12,0.18,0.36,0.67,1.51,2.72,7.69,24.21,65.74,100.00,2,1,3,5,14,20,82,273,686,566,0.12,0.06,0.18,0.30,0.85,1.21,4.96,16.53,41.53,34.26
12/28,2,3,4,8,19,48,136,439,1135,1740,0.11,0.17,0.23,0.46,1.09,2.76,7.82,25.23,65.23,100.00,2,1,1,4,11,29,88,303,696,605,0.11,0.06,0.06,0.23,0.63,1.67,5.06,17.41,40.00,34.77
1/4,0,0,3,7,17,45,113,446,1169,1832,0.00,0.00,0.16,0.38,0.93,2.46,6.17,24.34,63.81,100.00,0,0,3,4,10,28,68,333,723,663,0.00,0.00,0.16,0.22,0.55,1.53,3.71,18.18,39.47,36.19
1/11,3,3,6,9,19,48,166,537,1461,2273,0.13,0.13,0.26,0.40,0.84,2.11,7.30,23.63,64.28,100.00,3,0,3,3,10,29,118,371,924,812,0.13,0.00,0.13,0.13,0.44,1.28,5.19,16.32,40.65,35.72
1/18,1,1,2,6,14,49,143,532,1351,2046,0.05,0.05,0.10,0.29,0.68,2.39,6.99,26.00,66.03,100.00,1,0,1,4,8,35,94,389,819,695,0.05,0.00,0.05,0.20,0.39,1.71,4.59,19.01,40.03,33.97
1/25,1,2,2,2,22,57,152,467,1157,1745,0.06,0.11,0.11,0.11,1.26,3.27,8.71,26.76,66.30,100.00,1,1,0,0,20,35,95,315,690,588,0.06,0.06,0.00,0.00,1.15,2.01,5.44,18.05,39.54,33.70
2/1,0,1,2,4,12,38,114,394,957,1401,0.00,0.07,0.14,0.29,0.86,2.71,8.14,28.12,68.31,100.00,0,1,1,2,8,26,76,280,563,444,0.00,0.07,0.07,0.14,0.57,1.86,5.42,19.99,40.19,31.69
2/8,0,0,0,2,7,29,84,250,628,926,0.00,0.00,0.00,0.22,0.76,3.13,9.07,27.00,67.82,100.00,0,0,0,2,5,22,55,166,378,298,0.00,0.00,0.00,0.22,0.54,2.38,5.94,17.93,40.82,32.18
2/15,0,0,0,1,6,25,69,194,476,731,0.00,0.00,0.00,0.14,0.82,3.42,9.44,26.54,65.12,100.00,0,0,0,1,5,19,44,125,282,255,0.00,0.00,0.00,0.14,0.68,2.60,6.02,17.10,38.58,34.88
